弘樹，你在做什麼,諾亞方舟，出航
你們之前沒見過面,我們去過數個相同聚會但一直不認識彼此
我們的現狀仍是需要吸引更多女性選票,明白了
妳痛恨政府管這瑣碎事,我不會把槍枝法視為瑣碎小事
我只為相信的事物工作所以我晚上睡得著覺,妳晚上根本不睡覺
是否感到昏眩,沒有
妳都幾點睡覺,不一定但我睡眠充足
妳到底有沒有睡覺,這陣子很忙
你剛打給我時打哪個號碼,市內電話
想佔用妳五分鐘時間,好走到我車要三分鐘說重點
妳認識他們的執行長嗎,沒聽過
現在是怎麼回事,妳支持希頓哈里斯要嚴控槍枝
妳的車在哪兒,現在應該到門口我不開車的
這可以嗎,可以
怎有人把巧克力蛋糕當早餐,馬芬而已啦
誰要跟我走？,我跟妳走
你有幾支T9手槍,足夠保護我的財產
我只有算到五個,妳的數學不行
誰說我要跟妳去,我說的
如果我想留下呢,拜託，現在不是耍幽默的時候
直接進入重點吧,好
什麼時候的事？,剛收到的消息
早安,早安
姓名和年資？,愛絲美瑪紐加瑞，九年
布雷迪在選戰上每花一塊錢，而槍枝支持方花多少嗎？,38塊錢
我們要怎麼贏？,得建立我們自己的支持者
什麼最能看出投票者意願？,就是錢
妳沒開車嗎？,我會開但我不開
妳的藉口是？,老實說我技術超爛
妳有認識的人是槍枝受害者？,沒有，為何大家都這樣想？
妳每晚都在這裡吃？,差不多，這裡從不打烊
妳怎麼不會厭倦？,這是生活必需啊
若妳公開會攸關我們輸贏呢？,如果對我一視同仁，我會很感激
還有誰知道？,羅道夫，沒人知道了
誰會去那個醫學會議？,華勒斯議員
醫生沒時間玩社交軟體合理嗎？,值班15小時後，很正常吧
你知道什麼是肺呼吸學嗎？,知道，就是肺的相關研究
肺並不對稱，右肺有三片肺葉，左邊兩片，你知道為什麼嗎？,心臟想要多一點空間？
可以跟我說溫蒂的來頭嗎？,當然可以
什麼意思？,意思就是該改用B計畫
他還可以帶來誰的票？,法西泰利和賈西亞
要去那間新餐廳嗎？,我們去紐約大學法學院
修正案的辯論會如何？,不要大聲張揚
為什麼不直接再活一次？,那不適合我
妳後悔過嗎？,完全沒有
妳該不會用取代鍵，在谷歌留下漏洞，讓他們認真調查就發現吧？,我的確用取代鍵
我要妳在農協晚宴上台說話,等等，這是大事
我不習慣面對聚光燈和媒體,那就趕快習慣，木已成舟了
我需要聊天主題,什麼意思？
妳還外包找人想應酬話題？,對啊，興趣、嗜好、小孩！
要討好一個父親的最好方式，就是說他的小孩有多可愛,了解
捐這麼大款項，為什麼要匿名？,理由很明顯
我們晚點說,在辦公室裡說嗎？
妳到底在想什麼？,你最好別打擾我工作
第二修正案就會賦予我們隨身攜帶棒球棍的權利？,不，那是你要對藍狗聯盟那群保守民主黨朋友說的
你看過我的支持率嗎？,他不會跟你競爭，他會跟你的兒子競爭
我就不能有社交生活嗎？,我不知道妳有社交生活
他表示支持時有錄影嗎？,當然
我們不去佛州,什麼？
大家請翻到第九頁,我的第九頁沒東西
早安,請坐
被跟蹤了嗎？,很明顯是的
你願意發誓說的一切句句屬實，不然就是犯下偽證罪嗎？,我願意
你們一共多少人？,6個，4個出外務了
史密特先生，有嗎？,是的，參議員，我們有
你對此的反應為何？,我說這讓人大開眼界、足智多謀
知道被抓到會變多慘嗎？,不會比失去班利來得慘
妳何時發現有內賊？,醫科募款晚宴後
妳怎麼知道是她？,我不知道
妳好啊，我是卡爾史奈德，從事銀行業,不好意思，你認錯人了
妳何時開始打這主意？,那晚的晚餐
妳還會這麼做嗎？,會吧
妳只用了三個月時間？,實際花的時間更少
我怎樣都想不透怎麼有人可以想到這步,老娘就是狠角色吧！
她又會是誰？,我從不透漏客戶的身份
我寧願有正常生活也不要這個專長,正常不一定好
為什麼？我做錯什麼？,沒有，只是我的狀態不太好
請離開,隨便妳
現在狀況如何？,還缺4張票！
妳覺得槍枝爭論現在主要變成女性議題了嗎？,你只需要看數據，美國女性在槍枝安全議題有決定性的力量
如果要跟我會面，為什麼只寄信？,因為不是真的想跟妳會面
妳在哪兒？,快餐店
希望能快發明食物藥丸,那大概要等一陣子
沒關係，我幫妳,謝謝
你拯救的那個人，曾積極推動持槍的禁令，你怎麼看？,我尊重，但反對他們的看法
妳有跟她聯絡嗎？,那是我的私事
妳對發生的事有內疚感嗎？,我為什麼要內疚？
叫他們撤掉,可能會更糟的
我目前弄錯了四個事實,這樣不妙
這些參議員突然變超忙，還真巧,我們都知道是怎麼回事
說重點，接近投票時情況會怎樣？,會很接近，但最新的預測結果是我們會少4至7票
喂？,不好意思，妳打錯了
為什麼沒人查她的檔案？,原本人很多，但大家都落跑了
妳們查到多久之前？,從最後一筆生意，到她背叛我們
那是什麼？,棉花糖蛋糕
我不能一邊支持又一邊要搞它,在不偏頗的原則下，當然可以
我要妳退出選戰,什麼？
你在胡說什麼？,有妳在，法案都被模糊焦點
史貝林有妳的把柄,我根本沒見過他，這是陷阱
我說對了嗎？,完全不對
妳的客戶曾捐款給這非營利組織嗎？,不知道，我不清楚他們的捐款名單
沒有干預？,妳當然沒有干預
妳看過那份表格嗎？,看過，是私人贊助證明表
妳認得那個筆跡嗎？,認得
是妳的嗎？,是的
妳計畫用竊聽的方法使班利參議員就範，對嗎？,我的確想過這種方法，但從沒有付諸實行
為什麼呢？,史密特先生明言禁止
在妳的遊說生涯中是否經常運用諜報手段？,我沒有
妳是否曾授權、命令或主導對任何人實行非法的監視行動？,答案是沒有
可否描述你的工作性質？,我有很多種工作
你目前的主要收入來源是什麼？,我在華盛頓做伴遊
你收費和女人睡覺？,我滿足客戶的任何需求
佛德先生，你見過絲隆小姐嗎？,見過
可以請你指出她嗎？,就坐在那兒
你們是什麼關係？,我和一個客戶參加聚會，我試著要自我介紹，但她不理我
你曾服務絲隆小姐嗎？,沒有，先生
我想討論我的未來,現在時機不太適合
這他媽的是什麼東西？,辭呈
為什麼這次願意見我？,他們說你要談工作的事
對了，你的氣色也不錯,謝謝
妳怎麼會自己填表？,那是讓他們上鉤的餌
新年快樂,新年快樂
老實說現在我只希望這種超能力能幫我找到個女朋友,這可不容易
可以幫我擦防曬霜嗎,當然
蒂姆可以幫我擦防曬霜嗎,可以等一會兒
別老給家里打電話你媽不喜歡老被人打擾,好的知道了
我是詹姆斯的兒子,誰啊
你好我叫瑪麗,我叫蒂姆其實我媽也叫瑪麗
有東西碰到我手肘了,放心不是我
說實話你們倆誰更漂亮,當然是我
你喜歡凱特·摩斯嗎,我愛死她了
你好,你好
要是我問你要號碼會不會太唐突了,不會
我的頭發呢是不是太棕了,我愛棕色
我劉海是新剪的,劉海很完美簡直是點睛之筆
我希望能再見到你,你會的
你也知道我的戲今晚上演,老天對啊怎樣了
你好,你好湯姆先生我是哈利的朋友
請問你臺詞記得怎樣了,抱歉什么叫臺詞記得怎樣
謝謝你來陪我小凱,反正也沒事做
吉米呢,又把我甩了
工作呢,炒我魷魚了
喝咖啡嗎,謝謝
我只注意到照片中的貓看到沒,看到了真不錯
我長得像你媽嗎,不像你比她漂亮多了
要牛奶嗎,要
男朋友呢,有了
我看上去不像有男朋友嗎,不像
你們什么時候認識的什么時間點,其實就是一周前
來來再說說你們美妙的初次見面,好吧
對喬開了一個小型派對,簡直是個煉獄幸好魯伯特救了我
這個糟糕的派對在哪兒呢,就在我的破公寓里
那是在哪兒呢重點就在這不是嗎,西南五區科菲爾德花園26號
你是什么時候到的是早是晚魯伯特,準時到吧真愛在召喚呢
你好我們認識嗎,不不我是瑪麗的朋友
我叫蒂姆,我叫瑪麗
我們聊聊凱特·摩斯吧,我很喜歡凱特·摩斯
你是做什么的,我在出版社看書
不是吧你看書也能賺錢,沒錯我的工作就是看書
你是做什么的,我是個律師
陪我走到車那兒去好嗎,好啊好的
下次肯定會更好,我覺得已經很好了
你等我一下好嗎,好的
你還真懂內衣啊,希望如此
真不錯有些人第一次搞得一團糟,菜鳥吧
等我一下好嗎,當然
我有個壞消息,你要死了嗎
什么時候,現在
他們知道我這個人嗎,知道我稍微提過
對了他們比較保守還是換條褲子吧,好的
我要說我住這兒嗎,絕對不行
那能說我們做愛嗎,可以但別說口交
你為什么覺得會說到這個,不知道如果說到了就一口否認
好準備好了嗎,好了
蒂姆說說你是哪里人哪個地方的,他是康沃爾的那兒很漂亮
你是個律師對嗎,是的沒錯他從沒輸過
我拿到兩張國家劇院的票明天的一起去嗎,不去了我要睡一整天
天哪是夏洛特,誰
誰,我的初戀
在哪,那邊出口標志下面
那個老女人嗎,不不是那個老女人那個金發美女
夏洛特,天哪蒂姆見到你真好
我看見三年前那個夏天讓我心碎的女孩了,去打個招呼吧
去打個招呼吧,不還是別找麻煩了走吧
蒂姆見到你真好,真是個驚喜啊
幫我跟奇巧帶個好她好嗎,她還行其實她在倫敦也過得不容易
是啊吉米說他有時候會見她,是嗎從什么時候開始的
你想去哪,你喜歡的就行
醒醒來聊聊天,干什么
我有件很重要的事要問你,不能等明早嗎
不能等明早嗎,不行
喝茶嗎,非常愿意
你有什么缺點就是小弱點,我非常沒安全感
覺得她如何,比起你我已經更喜歡她了
我不知道你在,我剛下來
經過一點點考慮我們決定要結婚,真是個好消息
你要跟誰結婚,跟瑪麗那個
你決定一件事我就脫一件衣服,好的我了解了年輕的女士
你想在哪辦婚禮,家我討厭別的地方
應該找哪位神父,得是有一口黃牙和一堆連心眉的當地人
蜜月呢,去蘇格蘭住小旅館
話說奇巧去哪了,不知道她說3點左右過來
我妹妹呢,我還以為她在這里
怎么了,我們吵架了
小嬰兒住在這里嗎,在她可興奮了就在樓下
我必須去接奇巧,我以為她會自己開過來呢
她沒事吧,再說吧
我很擔心奇巧,我知道
我不能回到出生以前的時間了是不是,不行我應該跟你說的
考慮一下約他吃晚飯你有時間嗎,可能吧也許得先梳妝打扮一下
咱再生一個吧,去死吧不要
好啦這件怎么樣,很漂亮任務完成很好
不行認真點挑這個,我不確定不行我不喜歡
好吧那這件呢,美極了就是它了
波絲哪去了,我讓她呆在樓下呢
我放手稿那屋的門關了吧,貌似沒有
我們以前是不是有過這個對話了,是的
然后發生了什么,我很難過我擁抱了你
您今天是在這兒吃還是帶走,帶走吧謝謝
他跟你說了什麼了？,他只是要讓我看吉他
你要去哪？,我以為妳說完了
萬一我不是做鞋子的料呢？,米高，有全家人在這兒引導你
歡迎回來，有什麼要申報嗎？,吉拿棒，我家人供奉的
有什麼要申報嗎？,老…老實說，有的
這是誰的靈獸啊？,牠只是丹丹
可是丹丹又沒有毛,我也沒有鼻子，還是會過敏
要解除家族的詛咒就得得到家人的祝福,就這樣？
你喜歡德拉古司？,他跟我是老交情
你…你在做什麼？,我在學骷髏走路，免得穿幫
不，我們才不那樣走路,你就是那樣走啊
我會讓你見到他,怎麼做？
真…真正的德拉古司在哪？,德拉古司從不參加彩排
我要消失了，海特,我感覺得到
你想要它，就得靠你的實力,爭不過你啊
你要點歌嗎？,你…你知道我的最愛，海特
等等，怎麼回事？,他被遺忘了
那他去哪了？,沒人知道
你…你要演奏什麼？,當然是「勿忘我」啦
你表演以前都這麼緊張嗎？,不曉得，我從來沒有表演過
什麼？你不是說你是音樂人,我…我是啊
嘿，你要去哪裡呀？,我們得離開這裡
妳摧毀我的人生,什麼？
你的表演真精彩喔,你們也是
你…你知道我？,所有的人都在談論你呢
這…這是哪裡來的？,那是我的可可太婆
妳在那裡工作嗎？,不，我是學生
我不是要侵犯妳隱私但我發現我們的RPP區一樣,是嗎？
你的觀察力真驚人,對
RPP區是什麼？,住戶停車認證區
妳把誓詞寫在菜單上嗎？,對，怎麼了？
你們願意成為夫妻嗎？,我願意
妳感覺如何？,我的頭好痛
佩吉，妳知道我是誰吧？,知道，你是我的醫生
你在做什麼？,睡覺
我帶了妳的衣服,謝謝
我的頭髮很奇怪,那只是妳個人的看法
為什麼你是我先生卻沒見過我家人？,妳跟他們好幾年沒說話了
我為什麼會不跟家人說話？,那是在我們交往以前發生的
我們從來沒談過這件事？,有
我聽說妳終於要出院了,對，我被通知出院了
我看起來好像怪咖,我覺得妳很美
我們住哪裡？,在北區
現在總統是誰？,歐巴馬
能拜託你出去嗎？,佩吉，我很抱歉
這是衣櫥裡我唯一穿起來舒服的,那其實是我的
你上班嗎？有工作嗎？,有，如果還沒倒的話我有一間錄音室
我的日常生活呢？我每天都在做什麼？,妳起床後會泡咖啡
我不是故意不來的,我知道，我沒生氣
她還好嗎？,恢復中
你三點半會準時到？,你三點半會準時到？
天啊，妳訂婚了！,對呀
你們倆好配,謝謝妳，佩吉
李歐，你在哪裡上班？,我剛在市中心開了一間錄音室
那不是黛安錢尼嗎？,對，我們已經不一起玩了
我有把戒指還你嗎？,有
妳在拼貼嗎？,我會拼貼嗎？
我翻了一下你的東西希望你不介意,不會，我的東西就是妳的
我想我準備好去看工作室了你能帶我去嗎？,當然
佩吉，妳想恢復記憶嗎？,想
媽，妳聽電臺司令的歌嗎？,當然，怎麼不聽？
妳的頭髮看起來不一樣了妳很美,謝謝
妳最愛看什麼書？,是詹姆士派特森的《沙灘小屋》
妳不喜歡嗎？,不喜歡
謝謝妳今晚跟我去約會,我玩得很開心
妳跟傑瑞米出去了嗎？,不是
對她來說還是對你？,對我們兩個都是
佩吉？,什麼事？
你真是個偽善者,你說什麼？
這不公平,不公平嗎？
你沒事吧？,結束了完了，我放棄
妳知道我現在被背叛的感覺有多深嗎？,很抱歉，佩吉
我能問你一個問題嗎？,可以妳想問我什麼就隨時問
你知道我爸的外遇嗎？,我知道
我不能再失去他們了,那就別失去
我跟蘿絲分手了我提的分手，佩吉,不，你為什麼要這樣做？
我以為你們要訂婚了…,本來是，但那是在妳以前
其實我有話要告訴妳,好
我以為你們要訂婚了…,本來是，但那是在妳以前
妳確定妳不記得跟我分手的那時候？,怎麼了？
但願妳不是為了喝熱可可才進城裡來的,其實，我六個月前就搬回來了
我回去念藝術學院了,真的？沒騙我？
宋妮亞跟我變成了朋友我問了她關於我們的事,真的？她都說了什麼？
真的？她都說了什麼？,她說你現在應該沒有女朋友
我們要不要試試看以前沒去過的地方？,新的餐廳？
新的餐廳？,當然
我的全部身家都在那包裡了,放心吧!我去拿!
我是莎文娜,約翰
你在當兵還是,對啊
什麼兵種,陸軍特種兵
爸爸呢,在那邊
我的朋友約翰這是艾倫,"艾倫,很高興認識你"
你好我是提姆,我是約翰
聽說你是特種兵,是的
駐紮在布拉格堡嗎,"不,在德國"
這麼說馬上要走了嗎,是的
旅途愉快,"謝謝,我會的"
抱歉打擾你們了很高興認識你,也很高興認識你過來兒子
嗨你好約翰,你好艾倫
你什麼時候回去,兩周後
你的工作一定很驚險吧,其實更多的是無聊大多數時間都待著只是偶爾的突襲確實很驚險
你有沒有發現月亮在升起的過程中特別大但升到天空中後卻又變小了,那是眼睛的錯覺
你是怎麼知道的,不記得了
哇你能自己生火啊,好厲害
但你這樣也烤不熟那個熱狗我覺得啦,我覺得這樣很好
我真的很想也許我們可以一起出去吃就讓別人煮的那種,好啊真的嗎?
那我大概六點來可以嗎,嗯好好的
那麼明天見咯?,嗯明天見
我們要去市區吃冰淇淋送你一程吧?,沒關係不用了我自己走就行
亞倫坐過去點兒我們出發咯,"好了,安全帶綁好了"
你來這鎮上多久了,我們住這整整一年了
爸爸我晚上不在家吃飯了,我做了焗麵
在這兒你能吃到最好的海鮮,我知道我以前經常來
你確定不去好一點兒的地方嗎,好一點兒?這兒就挺好的嘛
你爸爸有沒有因為你回家太晚發飆,沒有他不是那種會發飆的人
那他是哪種人,安靜規律的
那你媽媽呢,沒有我家只有我和我爸爸
你怎麼這麼多問題關心我父親,好奇嘛我想知道你是什麼樣的人
我想見見你爸爸,就今晚
你開始讓我有點緊張了,為什麼這樣說呢
不過說實話你不抽煙嗎?,不
也不喝酒,不
沒聽你講過,那是因為我只在心裡抱怨
好那說一個聽聽,不行不能說這太齷齪了
你以前一定很凶悍,我是說你現在還是有點
你沒有嚇到我約翰,哦你可嚇著我了
你和莎文娜怎麼了,別煩我好嗎
等等你們怎麼啦,注意點把手拿開
你現在穩定下來了嗎,還沒有
和其他人約會了嗎,"沒有,我很少有假期"
我想你一定想揍我一頓,我不會的
這一切都是我的計畫,你計畫過嗎
情況怎樣？,母親嚎啕大哭，舅舅氣急敗壞
她沒結婚？,離婚，有四個小孩
神父呢？,他留在休息室
有媒體嗎？,公民報記者，但我們打發他走了
那是誰？,助理檢察官
蛋糕好吃嗎？,挺不賴
你不吃？,不，這給麥克
你看了華盛頓傳來的數據？,對，很有趣
你認為卡希爾知道內情？,也許，但這報導恐怕不適合我們
什麼不適合焦點小組？,警局數據
卡希爾問出話了？,還沒，但我會
樓上怎樣？,還好
聽說魯賓和康納要去時報,真的假的？
拜倫有待過波士頓嗎？,我想他從沒來過，也許該買個地圖送他
新老闆是來裁員的？,我不知道
你是波士頓出身？,對，在這裡出生和長大
你們賣給時報後感覺有改變嗎？,沒有，我想衝擊不大
你是焦點小組的主編？,我寧願自稱是選手教練，但沒錯
你熟悉焦點嗎？,不，不盡然
你們正在調查什麼？,我們剛揭發一家惡質建商
通常需要花多久？,很難說，幾個月
那你預期有更多裁員？,大可這樣假設
你需要多少時間？,再1週
你要去哪裡？,10點半會議
跟拜倫談得還好嗎？,我摸不透他
你要怎麼弄到文件？,我不懂當地法律，但在佛羅里達州能起訴
你要控告教會？,嚴格說來不算控告教會，我們是聲請調閱文件
情況怎樣？,拜倫想聲請調閱吉根案的文件
你們覺得控告會有機會？,取決於法官還有他屬於什麼教區
我跟你提到的波士頓警局報導，那個能先擱置嗎？,也行
妳能聯繫他嗎？,我只採訪過他一次，他算是怪咖
所以我們放棄波士頓警局案了？,不，是暫時擱置
奶奶，妳哪時要離開？,9點有巴士在教堂停車場接我們
多米尼克神父會去嗎？,不，他說他沒偏財運
有什麼事嗎？,我想挑戰吉根案的保護令
你想控告天主教會？,我們正在提出聲請，但算吧
我來找米契加拉貝迪恩,他在講電話，請坐
比爾，那些文件到底在哪？,我叫你放在我桌上
妳不打高爾夫球吧？,不打
幸會,幸會
你熟悉吉根案嗎？,當然，80個原告，全是個案
難道你認為他在虛張聲勢？,我認為他在譁眾取寵
你是誰？,我是波士頓環球報的麥克瑞茲德
你沒有錄音吧？,沒有，我要錄會先問
我不能給你看教會文件,我知道
你認為貴報有資源對抗教會？,對，我認為
你們要做教會的報導？,不，我們不做教會的報導
你有找到菲爾薩維亞諾的資料嗎？,沒有，他是誰？
妳還要多久能看完剪報？,幾天吧，有一堆
有人想要食物嗎？,我不餓
你們還查到什麼？,夏莎找到一個受害者組織的人
羅比說麥雷許認為他在虛張聲勢,我認為不只如此，班
新主編表現怎樣？,他不喜歡棒球，但他似乎是聰明人
私底下說？,私底下我也不能說
你今天為什麼來公司？,檢查薩維亞諾的剪報
所以不理他們？,我們這次要開始不理任何人
我讀哈佛時會跟尼曼學人一起聽課，我讀到你曾當過主編,對，那是陳年往事了
我們的讀者群不太高興，他們把我看作愛管閒事的局外人,我能想像
你幹嘛老是重複我的話？,我只是想釐清事實
我緊張時會狂吃,其實我也是
收到請回答,收到
確認地點,六五快速道路北上兩公里處
你確定嗎,確定啊
一起吃消夜,我下班有約了，先這樣
我下班有約了，先這樣,喂，等一下啦
換一台新的吧,拜託才剛換耶，開不到一個月
拜託才剛換耶，開不到一個月,怎麼可能
怎麼可能,真的，你看
你這樣說話好像警察局是為你而開的,別這麼說啦，我們這個算是警民合作最佳典範
每次都要給我添麻煩,不是嘛，我怎麼知道會遇到這種事情
要不要查一下,這個不是一般常識嗎
這個不是一般常識嗎,還是查一下
乾杯，一起來,喝喔喝喔
給大家介紹一下，這是我們社會線的新召集人小齊,哇，謝謝大哥
小三本人身材好嗎,還可以啦
沈組長還沒結婚啊,不會吧，長得這麼漂亮會沒有對象
考慮一下小齊嘛，不錯的耶,噓，不要亂說話
又跟男朋友吵架啦,是不是在一起久了，感情就會變淡
是不是在一起久了，感情就會變淡,就跟你說和他分一分嘛
是不是在一起久了，感情就會變淡,每次看你這個樣子我都覺得很難受，你明明就這麼好的
是不是在一起久了，感情就會變淡,你明明就這麼好的，你適合更好的，真的
嫂子跟小吉都還好嗎,好啊，不過有小孩之後生活壓力大
好啊，不過有小孩之後生活壓力大,我壓力也很大耶，我現在變無業遊民
要我送你回去嗎,好啦，回去
請問一下，徐愛婷有在嗎,阿婷沒有住在這啦
阿婷沒有住在這啦,那她現在住在哪裏啊
那她現在住在哪裏啊,你們是找她要幹嘛
你們是找她要幹嘛,我們是她同學，要開同學會所以過來找她
借問一下，這相片是徐愛婷嗎,你剛不是說你們是她同學，你怎麼不認得
你剛不是說你們是她同學，你怎麼不認得,國小畢業之後就沒看過她了，不知道她現在變這個樣子
這個茶有什麼好可疑的地方嗎,我老家種茶的，我對茶很熟，像這種比賽茶一斤要七千多塊
老闆,是要找什麼茶嗎
是要找什麼茶嗎,老闆你好，我找膨風茶
老闆你好，我找膨風茶,金芯的，五色的那種
跟你打聽一下，這位小姐有來你們這買過茶嗎,好像沒什麼印象
跟你打聽一下，這位小姐有來你們這買過茶嗎,這不就是張老師
那個張老師全名叫什麼,張老師喔，好像叫做張惠雯
年紀大概多大,差不多三十多歲
那她在這附近住多久了,住在這裏多久喔，也沒有很深的印象
你有看到肇事者嗎,沒有，我醒來的時候就已經在醫院了
這麼多年以前的事情，你們現在問要幹嘛,我只是想幫你查出真相，然後抓到那個肇事者
我只是想幫你查出真相，然後抓到那個肇事者,我沒有要知道真相，知道又怎樣
我可以留你的聯絡方式嗎,你們不要再來煩我
哈羅,你好
不好意思這麼晚打給你,怎麼了嗎
怎麼了嗎,我是想拜託你不要跟任何人提到今天跟我見面的事
你知道張老師住哪嗎,張老師喔，不知道耶，我看她都是走路來買茶
她是不是住這附近,她好像有房子在租人，還是你要去她出租房子的地方看看
還是你要去她出租房子的地方看看,好啊，你有地址嗎
我是張老師的朋友，請問你知道她住在哪裏嗎,你說房東喔
你說房東喔,對
對,她住最後一間啊
可不可以拜託你幫我查個資料,沒辦法
沒辦法,拜託這真的很急
拜託這真的很急,真的沒辦法，王組長不在我沒辦法
來同學,老師好
叫什麼名字,老師叫我小齊就好了，我研究所有修過你的課
你現在有空來找我嗎，我有事情要跟你說,怎麼了
怎麼了,電話裏不方便講，是關於九年前的事
你現在方便來找我嗎,好，我馬上過去
我記得你以前是開黑色賓士，怎麼後來沒開,早換車啦
可不可以拜託你幫我查個資料,沒辦法
沒辦法,拜託這真的很急
拜託這真的很急,真的沒辦法
王先生你要不要留在車上,沒關係我跟你們一起找
不好意思請問一下,什麼事
什麼事,你有沒有看過這個女孩子
你有沒有看過這個女孩子,沒有看過耶
你住在這裏,對啊
你怎麼跑來這,我找人
你一個人住啊,對啊
找什麼人,這女生，你有看過嗎
這女生，你有看過嗎,沒有
阿姨早,早安
你有沒有幫我餵阿,每天都有幫你餵啊
對不起,對不起誰
對不起,你也知道，你對不起我
你來啦,怎麼喝成這樣
怎麼喝成這樣,等你啊，我就先喝了
等你啊，我就先喝了,我開車不喝，我可以載你，你喝多了
離職提了沒,我沒有要離職啊
我沒有要離職啊,所以你是不想跟我到部裏去了是嗎
所以你是不想跟我到部裏去了是嗎,我去部裏幹嘛
我去部裏幹嘛，反正你都要把我跟小齊送作堆了，我在這邊跟他培養感情,那你們是查案查到有感情了是不是
那你們是查案查到有感情了是不是,那天晚上，訊息上說的都是真的
那天晚上，訊息上說的都是真的,你們真的上床了
你們真的上床了,我跟他上床，關你什麼事
二零零七年八月三十號，你還記得是什麼日子嗎,什麼日子啊
什麼日子啊,阿吉很開心的日子，那天阿吉剛跟他女朋友求婚，他女朋友還是你介紹的
剛調來內勤還可以嗎,很好
很好,加油啊，有什麼事要跟我講喔
加油啊，有什麼事要跟我講喔,嗯，謝謝老師
老師，開慢一點,沒事，可以的
沒事，可以的,你真的可以嗎
你真的可以嗎,我有很不行嗎
我有很不行嗎,你小心一點啦老師
你車怎麼撞成這樣,我酒駕撞人了，你要幫我
我酒駕撞人了，你要幫我,不行啦，你這樣拖我下水
我求求你，你一定要幫我,邱哥你別這樣
王主任，恭喜,嗨，德哥
邱哥交辦的事情都處理好了,確定會是正當防衛
確定會是正當防衛,瞭解，謝謝德哥
確定後續不會有任何問題吧,我拜託的事就再麻煩你們羅
你也來這裏啊,對呀，帶新人來拜拜碼頭
你好,怎麼樣，最近過得好嗎
怎麼樣，最近過得好嗎,還好啊，邱哥把我安排到電視台工作，薪水應該比公關室主任高
弄丟東西了嗎,那不是我們的，我們的在那邊
你再靠近我就要跳了,要不是你跳下去有可能傷到下面的人，我就讓你跳了
你是個殺人犯,你什麼時候知道是我的
我們得走了,我哪都不去
我哪都不去,沒跟你說話
引爆裝置是一只對講機,這意味著炸彈客可能就在附近看著
這意味著炸彈客可能就在附近看著,對于病態渴望毀滅的人而言，想看看自己的成果，并不罕見
我們一會兒回來,怎麼了
這是警方事務，你必須留下,什麼情況
什麼情況,有個男人形跡可疑，我跟著他，他逃了
有個男人形跡可疑，我跟著他，他逃了,他打你了嗎
他打你了嗎,沒有，我是被車撞了，所以才讓他逃了
沒有，我是被車撞了，所以才讓他逃了,這是那輛車嗎？
這是那輛車嗎？,不是，這輛車之前就在這
你真覺得你追的那個人就是炸彈客,我覺得他逼我非得追他就很可疑了
你們是警察，解決這件事,好吧
如果這不是你追的那個人，也不是開車撞了你的那個人，你為什么要把他留在這,因為我追的那個人用手扶了那里，如果他是本森赫炸彈客，我們就能得到他的指紋
你現在成了側寫師了嗎,側寫師必須依靠別人的記憶，我用的是自己的
你成為偵探也快五年了,你會送我一個蛋糕嗎
你會送我一個蛋糕嗎,它還能滿足你嗎
它還能滿足你嗎,蛋糕嗎
蛋糕嗎,我們選擇的職業
我們選擇的職業,你為什麼這樣問我
你為什麼這樣問我,你當偵探已經四年九個月零十六天了
你當偵探已經四年九個月零十六天了,所以呢
所以呢,你之前當康戒陪護當了四年十一個月零二十三天
你之前當康戒陪護當了四年十一個月零二十三天,我要再問你一遍，所以呢
我要再問你一遍，所以呢,是因為有了更好的職業，問問你的跳槽癮是否過去了
是因為有了更好的職業，問問你的跳槽癮是否過去了,其實你說得對，我還沒當過建筑工人
其實你說得對，我還沒當過建筑工人,你以為我沒聽懂你在諷刺我是鄉下人，但我聽懂了
我們感興趣的是今天早上，8:15發生的法拉盛的炸彈爆炸事件，你在哪裡,我那時在家工作，直到午餐后才離開
我那時在家工作，直到午餐后才離開,這可不算很好的不在場證明
這可不算很好的不在場證明,我不需要不在場證明我沒做什么錯事
你必須承認，那有點奇怪,不，我不承認，因為我什麼都沒做
你記得我嗎,我怎麼可能忘
我怎麼可能忘,見到你真好，醫生
見到你真好，醫生,你現在直接叫我喬恩吧，我放棄醫生的職位有一陣子了
我現在和警察一起工作,醫學案件嗎
醫學案件嗎,各種都做，說來話就長了
各種都做，說來話就長了,我猜也是
聽著，我想問你一個人，內森·里索,我記得他
我記得他,你們熟嗎
你們熟嗎,怎麼了
怎麼了,今早法拉盛一個公園發生了爆炸，他是嫌疑人
今早法拉盛一個公園發生了爆炸，他是嫌疑人,等等，所以你認為他是炸彈客
等等，所以你認為他是炸彈客,你們倆有多熟
你們倆有多熟,不太熟
不太熟,所以你們不算朋友
所以你們不算朋友，他從沒說過關于本森赫炸彈客的任何事嗎,沒對我說過
沒對我說過,好吧
話說，你已經出來幾周了，還好嗎,我住在臨租房，給人倒吐痰桶為生
這些垃圾桶昨天是空的嗎,現在不是了
現在不是了,我連垃圾都不能倒了嗎
我連垃圾都不能倒了嗎,正相反，我鼓勵您倒，垃圾桶里總是能讓人找到驚喜
我回來是因為我仍然認為你就是炸彈客,你什麼都沒找到，你還想要什麼
一棟你名下半完工的公寓住宅，被燒得精光,我十個月的辛勞付之一炬
我十個月的辛勞付之一炬,于是你獲得了220萬美元的賠償金
于是你獲得了220萬美元的賠償金,那場火是個意外
